mixture_ID,mixture_path,source_1_path,source_2_path,length
0082_0,/data/raw/experimental/Train/mix/0082_0.wav,/data/raw/experimental/Train/source_1/0082_0.wav,/data/raw/experimental/Train/source_2/0082_0.wav,240000
0082_1,/data/raw/experimental/Train/mix/0082_1.wav,/data/raw/experimental/Train/source_1/0082_1.wav,/data/raw/experimental/Train/source_2/0082_1.wav,240000
0082_2,/data/raw/experimental/Train/mix/0082_2.wav,/data/raw/experimental/Train/source_1/0082_2.wav,/data/raw/experimental/Train/source_2/0082_2.wav,240000
0082_3,/data/raw/experimental/Train/mix/0082_3.wav,/data/raw/experimental/Train/source_1/0082_3.wav,/data/raw/experimental/Train/source_2/0082_3.wav,240000
0082_4,/data/raw/experimental/Train/mix/0082_4.wav,/data/raw/experimental/Train/source_1/0082_4.wav,/data/raw/experimental/Train/source_2/0082_4.wav,240000
0082_5,/data/raw/experimental/Train/mix/0082_5.wav,/data/raw/experimental/Train/source_1/0082_5.wav,/data/raw/experimental/Train/source_2/0082_5.wav,240000
0082_6,/data/raw/experimental/Train/mix/0082_6.wav,/data/raw/experimental/Train/source_1/0082_6.wav,/data/raw/experimental/Train/source_2/0082_6.wav,240000
0082_7,/data/raw/experimental/Train/mix/0082_7.wav,/data/raw/experimental/Train/source_1/0082_7.wav,/data/raw/experimental/Train/source_2/0082_7.wav,240000
0082_8,/data/raw/experimental/Train/mix/0082_8.wav,/data/raw/experimental/Train/source_1/0082_8.wav,/data/raw/experimental/Train/source_2/0082_8.wav,240000
0082_9,/data/raw/experimental/Train/mix/0082_9.wav,/data/raw/experimental/Train/source_1/0082_9.wav,/data/raw/experimental/Train/source_2/0082_9.wav,240000
0082_10,/data/raw/experimental/Train/mix/0082_10.wav,/data/raw/experimental/Train/source_1/0082_10.wav,/data/raw/experimental/Train/source_2/0082_10.wav,240000
0082_11,/data/raw/experimental/Train/mix/0082_11.wav,/data/raw/experimental/Train/source_1/0082_11.wav,/data/raw/experimental/Train/source_2/0082_11.wav,240000
0082_12,/data/raw/experimental/Train/mix/0082_12.wav,/data/raw/experimental/Train/source_1/0082_12.wav,/data/raw/experimental/Train/source_2/0082_12.wav,240000
0082_13,/data/raw/experimental/Train/mix/0082_13.wav,/data/raw/experimental/Train/source_1/0082_13.wav,/data/raw/experimental/Train/source_2/0082_13.wav,240000
0082_14,/data/raw/experimental/Train/mix/0082_14.wav,/data/raw/experimental/Train/source_1/0082_14.wav,/data/raw/experimental/Train/source_2/0082_14.wav,240000
0082_15,/data/raw/experimental/Train/mix/0082_15.wav,/data/raw/experimental/Train/source_1/0082_15.wav,/data/raw/experimental/Train/source_2/0082_15.wav,240000
0082_16,/data/raw/experimental/Train/mix/0082_16.wav,/data/raw/experimental/Train/source_1/0082_16.wav,/data/raw/experimental/Train/source_2/0082_16.wav,240000
0082_17,/data/raw/experimental/Train/mix/0082_17.wav,/data/raw/experimental/Train/source_1/0082_17.wav,/data/raw/experimental/Train/source_2/0082_17.wav,240000
0082_18,/data/raw/experimental/Train/mix/0082_18.wav,/data/raw/experimental/Train/source_1/0082_18.wav,/data/raw/experimental/Train/source_2/0082_18.wav,240000
0082_19,/data/raw/experimental/Train/mix/0082_19.wav,/data/raw/experimental/Train/source_1/0082_19.wav,/data/raw/experimental/Train/source_2/0082_19.wav,240000
0082_20,/data/raw/experimental/Train/mix/0082_20.wav,/data/raw/experimental/Train/source_1/0082_20.wav,/data/raw/experimental/Train/source_2/0082_20.wav,240000
0082_21,/data/raw/experimental/Train/mix/0082_21.wav,/data/raw/experimental/Train/source_1/0082_21.wav,/data/raw/experimental/Train/source_2/0082_21.wav,240000
